2025-10-07 10:24:17.667 +01:00 [INF] Starting BuildOne Asset Management System
2025-10-07 10:24:19.467 +01:00 [INF] Database initialized successfully
2025-10-07 10:24:19.472 +01:00 [INF] BuildOne started successfully
2025-10-07 10:28:04.454 +01:00 [INF] Starting BuildOne Asset Management System
2025-10-07 10:28:05.664 +01:00 [INF] Database initialized successfully
2025-10-07 10:28:05.668 +01:00 [INF] BuildOne started successfully
2025-10-07 10:28:23.928 +01:00 [WRN] Failed to determine the https port for redirect.
2025-10-07 10:28:24.062 +01:00 [INF] HTTP GET /api/notifications responded 200 in 135.1659 ms
2025-10-07 10:29:12.295 +01:00 [INF] HTTP GET /api/notifications responded 200 in 13.4631 ms
2025-10-07 10:29:14.405 +01:00 [INF] Asset Management Dashboard accessed
2025-10-07 10:29:14.901 +01:00 [INF] HTTP GET / responded 200 in 547.7175 ms
2025-10-07 10:29:15.219 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.0622 ms
2025-10-07 10:29:43.539 +01:00 [INF] HTTP GET /api/notifications responded 200 in 3.0851 ms
2025-10-07 10:29:45.959 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 273.7609 ms
2025-10-07 10:29:46.149 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.6764 ms
2025-10-07 10:29:50.574 +01:00 [INF] HTTP GET /Home/Index/9 responded 200 in 19.1410 ms
2025-10-07 10:29:50.719 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.2608 ms
2025-10-07 10:30:19.560 +01:00 [INF] HTTP GET /api/notifications responded 200 in 2.6924 ms
2025-10-07 10:30:22.633 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.3330 ms
2025-10-07 10:30:22.718 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 26.8641 ms
2025-10-07 10:30:22.953 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.8673 ms
2025-10-07 10:30:46.275 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.6823 ms
2025-10-07 10:30:50.121 +01:00 [INF] HTTP GET /api/notifications responded 200 in 2.2083 ms
2025-10-07 10:30:53.892 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 44.5190 ms
2025-10-07 10:30:54.334 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.8948 ms
2025-10-07 10:31:24.862 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 10.0732 ms
2025-10-07 10:31:26.034 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.7201 ms
2025-10-07 10:31:56.883 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 38.1778 ms
2025-10-07 10:31:58.031 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.8034 ms
2025-10-07 10:32:28.877 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 9.6314 ms
2025-10-07 10:32:30.286 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.0572 ms
2025-10-07 10:33:00.913 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 45.8997 ms
2025-10-07 10:33:02.343 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.8938 ms
2025-10-07 10:33:32.881 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 8.3485 ms
2025-10-07 10:33:34.145 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.1149 ms
2025-10-07 10:34:04.904 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 28.9838 ms
2025-10-07 10:34:06.189 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.0631 ms
2025-10-07 10:34:36.883 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 25.4986 ms
2025-10-07 10:34:38.316 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.1258 ms
2025-10-07 10:35:08.905 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 26.2790 ms
2025-10-07 10:35:10.806 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.0348 ms
2025-10-07 10:35:40.886 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 7.8743 ms
2025-10-07 10:35:42.955 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.8380 ms
2025-10-07 10:36:13.899 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 25.7568 ms
2025-10-07 10:36:15.117 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.5888 ms
2025-10-07 10:36:45.875 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 6.3976 ms
2025-10-07 10:36:47.256 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.7442 ms
2025-10-07 10:37:17.916 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 35.3015 ms
2025-10-07 10:37:19.784 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.8542 ms
2025-10-07 10:37:49.877 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 22.3344 ms
2025-10-07 10:37:51.217 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.0500 ms
2025-10-07 10:38:21.912 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 34.0491 ms
2025-10-07 10:38:23.673 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.6601 ms
2025-10-07 10:38:53.932 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 60.2611 ms
2025-10-07 10:38:55.346 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.7651 ms
2025-10-07 10:39:25.897 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 11.3260 ms
2025-10-07 10:39:27.272 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.1569 ms
2025-10-07 10:39:57.920 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 44.7134 ms
2025-10-07 10:39:59.205 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.7571 ms
2025-10-07 10:40:29.904 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 17.1930 ms
2025-10-07 10:40:32.488 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.7340 ms
2025-10-07 10:41:23.985 +01:00 [INF] Starting BuildOne Asset Management System
2025-10-07 10:41:25.411 +01:00 [INF] Database initialized successfully
2025-10-07 10:41:25.414 +01:00 [INF] BuildOne started successfully
2025-10-07 10:41:29.322 +01:00 [WRN] Failed to determine the https port for redirect.
2025-10-07 10:41:29.902 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 579.4717 ms
2025-10-07 10:41:30.320 +01:00 [INF] HTTP GET /api/notifications responded 200 in 58.9584 ms
2025-10-07 10:41:33.616 +01:00 [INF] HTTP GET /Imaging/Details responded 200 in 210.6478 ms
2025-10-07 10:41:33.761 +01:00 [INF] HTTP GET /api/notifications responded 200 in 3.9039 ms
2025-10-07 10:41:43.986 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.6385 ms
2025-10-07 10:42:00.298 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 39.3531 ms
2025-10-07 10:42:00.437 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.0596 ms
2025-10-07 10:42:26.833 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.9751 ms
2025-10-07 10:42:30.483 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 22.2589 ms
2025-10-07 10:42:30.628 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.6480 ms
2025-10-07 10:43:00.866 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 31.5696 ms
2025-10-07 10:43:02.068 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.6905 ms
